
UNIX_time_stamp 1638503162.3434474	 File_name: addition.csv
Record_No	Value_1	Value_2	Operation	Result
22	0.2579287177	0.7257126798	subtraction	-0.9836413975
23	0.3535432305	0.3186804355	subtraction	-0.672223666
24	0.004975890986	0.1721162163	subtraction	-0.177092107286
25	0.8750598158	0.8708467426	subtraction	-1.7459065584
26	0.8612509266	0.686912237	subtraction	-1.5481631636
27	0.4507147054	0.7128418576	subtraction	-1.163556563
28	0.5059109109	0.2547901703	subtraction	-0.7607010811999999
29	0.8810448115	0.9849187237	subtraction	-1.8659635352000001

UNIX_time_stamp 1638503162.373495	 File_name: multiplication.csv
Record_No	Value_1	Value_2	Operation	Result
0	0.7364506605	0.07985559886	multiplication	0.058809708525070045
1	0.1807465423	0.2157035748	multiplication	0.03898767530684941
2	0.06365303741	0.6930331676	multiplication	0.0441136661436136
3	0.7821047048	0.9200331965	multiplication	0.719562291554833
4	0.9424760563	0.7249489241	multiplication	0.683247003004696
5	0.04430409911	0.1032685739	multiplication	0.004575221133013959
6	0.2886336754	0.589565599	multiplication	0.17016848572877258
7	0.1447099072	0.1669113367	multiplication	0.024153724044484952
8	0.670288727	0.6581297804	multiplication	0.44113697270510555
9	0.699270775	0.9544472848	multiplication	0.6674170925387417
10	0.9777759045	0.09439934994	multiplication	0.09230140977179552
11	0.5803453423	0.2792317146	multiplication	0.16205082499055293
12	0.5468239609	0.5497979717	multiplication	0.3006427045797801
13	0.9033634787	0.001139157579	multiplication	0.0010290733533529102
14	0.5696887656	0.9096642878	multiplication	0.5182255252271851
15	0.3899277002	0.6148837488	multiplication	0.2397602060599385
16	0.5631223781	0.7354118038	multiplication	0.41412684383866666
17	0.7923506919	0.2838063854	multiplication	0.22487418583732807
18	0.9072239465	0.469385454	multiplication	0.4258377240075742
19	0.3120954962	0.8039540628	multiplication	0.250910442151572
20	0.9790487633	0.9620328944	multiplication	0.9418771155162394
21	0.6428009316	0.3810465267	multiplication	0.24493706234570425
22	0.1491187798	0.9378671411	multiplication	0.1398536036953464
23	0.7388233645	0.6296630348	multiplication	0.4652097618722165
24	0.1230311164	0.7713695269	multiplication	0.09490245405144684
25	0.8644232707	0.4075375411	multiplication	0.3522849342106977
26	0.5451804584	0.4208845373	multiplication	0.22945802497868587
27	0.2694086869	0.04170257391	multiplication	0.0112350356774433
28	0.953794141	0.7327278334	multiplication	0.6988715144445442
29	0.707382267	0.0164700033	multiplication	0.01165058827185148

UNIX_time_stamp 1638503162.389885	 File_name: division.csv
Record_No	Value_1	Value_2	Operation	Result
0	0.9570578226	0.9416564771	division	1.0163555881306432
1	0.3869764098	0.9999727007	division	0.38698697427350676
2	0.7356800073	0.3231704112	division	2.276446053858287
3	0.8375111905	0.9148205624	division	0.9154923106481324
4	0.5126752776	0.4968640544	division	1.0318220307144037
5	0.6824311719	0.6603813194	division	1.0333895763738952
6	0.0380722039	0.7813997384	division	0.04872308247499152
7	0.04384710606	0.2357392085	division	0.18599835953890548
8	0.4486586315	0.8774012027	division	0.5113494603373651
9	0.04133172734	0.01242145097	division	3.3274476097698593
10	0.1310445568	0.4785665464	division	0.27382724050767454
11	0.6807215218	0.5046458169	division	1.3489094707682694
12	0.12619593	0.1825900645	division	0.6911434658045154
13	0.4817761456	0.09881048034	division	4.875759574715573
14	0.05881062842	0.5015611812	division	0.11725514378783027
15	0.02846237466	0.3589132797	division	0.07930153680518721
16	0.8295343864	0.9428544179	division	0.8798117404462129
17	0.2071911322	0.1583649351	division	1.3083144451716446
18	0.1708580042	0.148875993	division	1.147653162588813
19	0.3737581169	0.1345601763	division	2.7776280261903907
20	0.1669144097	0.4054034719	division	0.4117241742349272
21	0.03265307918	0.4114119262	division	0.07936833402375977
22	0.7047540514	0.9897711682	division	0.7120373618092627
23	0.1245683249	0.9807813941	division	0.1270092659275091
24	0.744587105	0.6960805121	division	1.0696853195238305
25	0.5792343758	0.8234236315	division	0.7034463836613852
27	0.1091515012	0.7339059923	division	0.1487268156210693
28	0.5134822269	0.8543544389	division	0.6010178018869072
29	0.08149830145	0.7952691488	division	0.10247889230076972
